id,editorial
1172,Little Brown
1173,Little Brown and Company
1174,Little Simon
1175,Live Oak Media
1176,Liveright
1177,Liveright Publishing Corp.
1178,Liveright/W.W. Norton & Company  Inc.
1179,Living Books
1180,Livre de Poche
1181,Llewellyn Publications
1182,Lodestar Books
1183,Loeb Classical Library
1184,Loeb Classical Library 307
1185,Loeb Classical Library 443
1186,Loeb Classical Library/Harvard University Press
1187,London : Collins  2004.
1188,London : Faber  2002
1189,Lone Oak Press
1190,Lonely Planet
1191,Longman
1192,Longman Publishing Group
1193,Longman Schools Division (a Pearson Education Company)
1194,Longmeadow Press
1195,Loose Id  LLC
1196,Love Inspired
1197,Love Spell
1198,Loveswept
1199,Loyola Classics
1200,Loyola Press (Chicago)
1201,LSU Press
1202,Luath Press Ltd
1203,Lübbe
1204,Lucas Books
1205,Lucent Books
1206,Lulu Press
1207,Lulu.com
1208,Lumen
1209,Luna
1210,Luna Books
1211,LWW
1212,Lyons Press
1213,MacAdam/Cage
1214,Macmillan
1215,MacMillan
1216,MacMillan Audio
1217,Macmillan Audio
1218,MacMillan Children's Books
